subscription_length,vehicle_age,customer_age,region_density,airbags,is_esc,is_adjustable_steering,is_tpms,is_parking_sensors,is_parking_camera,displacement,cylinder,turning_radius,length,width,gross_weight,is_front_fog_lights,is_rear_window_wiper,is_rear_window_washer,is_rear_window_defogger,is_brake_assist,is_power_door_locks,is_central_locking,is_power_steering,is_driver_seat_height_adjustable,is_day_night_rear_view_mirror,is_ecw,is_speed_alert,ncap_rating,torque_nm,torque_rpm,power_bhp,power_rpm,fuel_type_CNG,fuel_type_Diesel,fuel_type_Petrol,transmission_type_Automatic,transmission_type_Manual,rear_brakes_type_Disc,rear_brakes_type_Drum,steering_type_Electric,steering_type_Manual,steering_type_Power,segment_A,segment_B1,segment_B2,segment_C1,segment_C2,segment_Utility,engine_type_1.0 SCe,engine_type_1.2 L K Series Engine,engine_type_1.2 L K12N Dualjet,engine_type_1.5 L U2 CRDi,engine_type_1.5 Turbocharged Revotorq,engine_type_1.5 Turbocharged Revotron,engine_type_F8D Petrol Engine,engine_type_G12B,engine_type_K Series Dual jet,engine_type_K10C,engine_type_i-DTEC,model_M1,model_M10,model_M11,model_M2,model_M3,model_M4,model_M5,model_M6,model_M7,model_M8,model_M9,region_code_C1,region_code_C10,region_code_C11,region_code_C12,region_code_C13,region_code_C14,region_code_C15,region_code_C16,region_code_C17,region_code_C18,region_code_C19,region_code_C2,region_code_C20,region_code_C21,region_code_C22,region_code_C3,region_code_C4,region_code_C5,region_code_C6,region_code_C7,region_code_C8,region_code_C9,claim_status
-0.4607262193875291,-0.30306702818900344,0.33957889108656253,-0.6854120416373201,-0.6840742480272589,0,0,0,1,0,-1.367652725312604,-1.2201377663960309,-1.1410807544080683,-1.3018817891912242,-1.5384221835766527,-1.074662723571315,0,0,0,0,0,1,0,1,0,0,0,1,2.3317014276234964,-0.8573711148532591,-0.13523101831429768,-1.3316893240742995,0.007574799422877768,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,1
1.7592913331922606,0.5088812513544183,-0.4563939165508054,-0.5632773362634501,-0.6621472570006672,0,1,0,1,0,-0.7296504623881548,0.7713566962511595,-0.2324471629334197,-0.10410047795584519,-1.566728328072501,0.13510367390668526,0,0,0,0,0,1,1,1,1,1,1,1,-1.2343738166177523,-0.17509945667415666,-0.3012244566886726,0.2574992250552652,0.7557426610957635,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
1.733077299941961,-0.22170948930402207,-0.602369474355046,3.091906390711922,-0.6703098708994305,0,0,0,1,0,0.18199671546826857,0.7713566962511595,-0.5724684288424625,0.5145827063057644,0.6239007663912343,-1.0868440726028397,1,0,0,0,1,1,1,1,1,1,0,1,0.20148956134491558,-0.191739553166482,0.6065968952491964,-1.0455334276814734,-0.04161507131755493,False,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1.4915507096462242,-0.8684812151133809,-0.33713301393219813,0.4260180843901003,-0.6704902619671733,0,0,0,0,0,-1.3312943030718853,-1.2787659428241338,-1.0266241938411094,-1.3018817891912242,-1.51810149779901,-1.1741987025164962,0,0,0,0,0,0,0,1,0,0,0,1,-1.26654789805736,-1.0178378080975137,-0.17361855197985296,-0.5810893532908521,0.7557426610957635,True,False,False,False,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,1
1.5239399187474023,3.2184887266981734,-0.2966895970968424,0.5108633201041995,-0.6994292219479714,0,1,0,1,0,0.15080393046560164,0.7713566962511595,-0.2478108101447494,-0.05262747093806615,0.42236822003182034,-0.07641741893936244,1,0,0,0,1,1,1,1,1,1,1,1,0.11609613363939048,1.0515463391556632,1.1833467759108105,0.35973691714814343,0.6822986794637022,False,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
0.007810034626883622,-1.1362945877926407,0.24106332553387044,-0.6679762609762243,1.4801099039304297,1,0,1,1,1,1.23103925462068,0.741533990207024,1.5220066265610217,1.3158565989645692,0.8990576872402649,0.2657907360086177,1,1,1,1,0,1,1,1,1,0,1,1,1.0101088566490724,1.0390577145849338,-1.1567069799339085,-0.8397019520074298,-1.579473141773217,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1.0722579827703995,2.051086133508565,0.9198533856404081,-0.6072993286358174,-0.592812300910579,0,1,0,1,1,0.07442774273714892,0.7713566962511595,0.24976266480231746,0.06758010373644914,-0.5944819611050125,-0.20283892219224542,1,0,0,0,1,1,1,1,1,1,1,1,0.2215921489719701,1.0611464090987635,1.1940472989318185,0.24399862820377283,0.7557426610957635,False,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,1
1.6830583198296463,0.6234824840608448,0.5224475222645777,-0.5120655671041646,-0.6874981413547028,0,1,0,1,0,0.11417072617675234,0.7523657378020294,-0.22469706533838454,-0.02870775321157098,0.4305505279332361,-0.3459502035963428,1,0,0,0,1,1,1,1,1,1,1,1,0.17843000033651626,-0.16822973678649505,1.0215878362459254,0.3448382705254399,0.7057571307873053,False,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1.5984442860525134,1.3701834995707496,-0.6193120718846584,-0.6910198748473172,-0.6801535450764394,1,1,0,1,0,1.2603867102525257,-1.1549551124353143,-1.0498666785800836,0.5564835584627923,1.1071699065334288,-1.2716965375676048,1,0,1,1,0,1,1,1,1,0,1,1,2.3317014276234964,1.0902812589084898,-0.2093898607517914,-1.3941562559214882,0.7557426610957635,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1.7592913331922606,2.1314416914001257,3.774190086166548,0.46346945779945503,-0.6864891064759381,0,1,0,1,0,0.20247201379576035,0.7280384987824692,-0.25064889639265064,0.03248815347985002,0.47460996362173064,-0.3438256322987991,1,0,0,0,1,1,1,1,1,1,1,1,0.13411493685532705,-0.34260494147686815,1.0677560506739976,0.2797445752518063,0.7557426610957635,False,False,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
